KIC,Porb,sol,chi_fit,window,dur1,dur2,ecc
4990977,2.649,[ 0.05299263 -0.78207489  0.02301748  0.01602079  0.54257162  0.02214989],5358.82404027632,21.0,0.1422587382831663,0.1368966293798013,0.0192085281868021
5016163,5.246,[ 0.41642328  0.3440824   0.06042533  0.41233555 -2.2791935   0.06033588],43295.60301957377,111.0,0.3734566288910896,0.3729037406448414,0.000745371654854
5021174,4.045,[ 0.13542982  0.71414867  0.0286955   0.00946925 -1.31177696  0.01562462],14198.858987247804,11.0,0.1773515188859038,0.0965673943939497,0.2949228489896538
5022440,3.694,[ 0.02899914 -1.59584627  0.02136231  0.00879372  0.25140589  0.02043899],1928.313425303456,21.0,0.1320290009856646,0.1263224480273054,0.0220885937076583
5023948,3.649,[ 0.17650131 -0.98266156  0.03732558  0.1672685   0.84189771  0.03728166],90887.32435134196,61.0,0.2306894425049264,0.2304179915559148,0.0005892460517392
5024292,4.301,[ 0.17829904 -1.10780518  0.0499068   0.14035052  1.07189377  0.05395595],153591.1032998623,101.0,0.3084472168090791,0.3334728538337974,0.0404177726477057
5024450,3.052,[ 0.02748846  0.04942215  0.02863468  0.02323333 -1.47825273  0.0292764 ],12365.871378432068,41.0,0.1769756359906394,0.1809417525437107,0.0111145735678609
5036538,2.122,[ 0.41570918  1.00934104  0.02403876  0.32315399 -0.05144649  0.02412911],505178.3684166568,31.0,0.1485707026856686,0.1491290874186569,0.0018822462193584
5039441,2.151,[ 0.28727037 -0.33713671  0.03179988  0.0202997   0.73465887  0.0335617 ],479704.85776136885,61.0,0.1965380241082489,0.2074268885316756,0.0270903826368715
5080652,4.144,[ 0.34098351 -0.48822098  0.04170161  0.18520585  1.58313571  0.04168803],33326.73405681536,61.0,0.2577352996049313,0.2576513661402999,0.0002932293571194
5181455,5.58,[ 0.12313558  2.04004426  0.03116731  0.01262834 -0.75066613  0.03170082],5582.243434407252,51.0,0.1926284595210174,0.1959258197443967,0.0084885839477937
5211470,4.809,[ 0.00974237 -2.20913765  0.03897502  0.00650292  0.1955943   0.0369992 ],2743.4279025419137,11.0,0.2408837600759854,0.2286722322166601,0.0260066528333103
5216727,1.513,[ 0.04723791  0.41842424  0.02462253  0.03453306 -0.33812002  0.02452652],71687.03080621776,31.0,0.152178668381738,0.1515853099066312,0.0019538941206951
5288543,3.457,[ 0.33023053  0.29458968  0.04718417  0.19294627 -1.43951147  0.04966986],1590366.9485499016,101.0,0.2916201057511657,0.3069827890784018,0.0257901160741253
5300878,1.279,[ 0.4660568  -0.29090932  0.02218765  0.40237179  0.3478304   0.022164  ],1333638.4648907827,21.0,0.1371299779609482,0.1369838092866904,0.0010752628715281
5343976,4.331,[ 0.21937762  1.19398907  0.03593039  0.00995582 -0.97097226  0.03389503],259676.45022759607,21.0,0.2220664877802556,0.2094870541269602,0.0291498388496753
5347784,9.584,[ 0.1246654  -0.83638411  0.06129217  0.11364858  3.88823466  0.06144033],36183.51076727259,11.0,0.3788140956547753,0.3797297678186808,0.011109413379047
5359678,6.231,[ 0.1565153   1.61065323  0.04600606  0.11834509 -1.50482003  0.04604557],58136.3234754188,11.0,0.2843388493986447,0.2845830420500652,0.0004292729280544
5384802,6.083,[ 0.02172185  2.47048818  0.03040531  0.02048867 -0.57062849  0.02989313],3868.542968341587,11.0,0.1879189537432548,0.1847534168527158,0.0084947317829074
5393558,10.217,[ 0.18925007 -4.48273062  0.03867204  0.1120466   0.47525739  0.05311184],36788.437428230245,11.0,0.2390112050252408,0.3282558439488072,0.1590165569211811
5462901,5.271,[ 0.10211088 -1.96227911  0.02441175  0.03014228  0.6736117   0.02392628],114176.6727139597,11.0,0.1508759606847403,0.147875557426883,0.0100438150540093
5530881,5.083,[ 0.29376588  1.44746737  0.04698847  0.05335016 -1.09583712  0.04943893],844496.5715180062,111.0,0.2904105908428094,0.30555555321861,0.0254185718071172
5534814,9.719,[ 0.00548542 -2.23536402  0.01918806  0.00532045  2.62402076  0.01888543],1756.5428882892868,11.0,0.1185911279808653,0.1167207238377221,0.0079486403299859
5597970,6.717,[ 0.18283962  3.23545245  0.03616616  0.0110631  -0.1215607   0.03985403],102762.28278777658,91.0,0.2235236588217395,0.2463164292682851,0.048513007884487
5648449,4.349,"[ 5.19656813e-04 -1.32873434e+00  2.12771357e-02  6.87588419e-05
  6.60093866e-01  1.74422387e-02]",1484.17204400723,11.0,0.1315025842796964,0.1078011389122657,0.1196114442508391
5649206,4.893,[ 0.15883991 -2.1508492   0.04117522  0.15519396  0.29548311  0.0416988 ],43477.50275416559,101.0,0.2544819808387331,0.2577179762582535,0.0063180655333718
5652260,8.929,[ 0.05473214  2.29963431  0.03828467  0.03253875 -2.15675209  0.03781612],35828.05120157036,71.0,0.2366170457175958,0.233721196349486,0.0063202350185291
5730394,5.519,[ 0.2284085   0.69978253  0.06385512  0.17886691 -2.06083262  0.06714438],61549.86745768822,111.0,0.3946543353449994,0.4149834476466172,0.0251109036731494
5736461,7.346,[ 0.12548106 -3.48876697  0.05856759  0.09585356 -0.32796076  0.06170845],54239.1931209591,81.0,0.3619749065180517,0.3813869119464784,0.112592646895613
5768927,4.391,"[ 4.91163749e-02 -1.16079291e+00  2.76771610e-02  8.60940703e-04
  1.04588631e+00  1.62506983e-02]",3842.110122759242,11.0,0.1710577143778331,0.1004368655286209,0.2601495569346874
5771589,10.739,"[ 4.06745850e-03 -2.19899548e+00  2.72955809e-02  1.60757912e-03
  3.24137543e+00  2.68945223e-02]",1739.846779046453,11.0,0.1686993716554292,0.1662206431849471,0.0127371301743891
5781192,9.46,[ 0.24568551 -1.11554469  0.04664657  0.13922449  3.80320125  0.04247545],74232.53767669668,11.0,0.2882974478386382,0.2625180225584511,0.0563265773643287
5785586,0.46,[ 0.03408906 -0.17119642  0.017096    0.00487588  0.05699199  0.01275349],46095.90741935373,11.0,0.1056612474761429,0.0788225181201576,0.1456116356613744
5795648,4.553,"[ 2.47151397e-02  1.23481268e+00  3.06716104e-02  2.01751461e-04
 -1.05451419e+00  1.72174555e-02]",4370.037180257842,11.0,0.1895648029687668,0.1064118745956008,0.2809790419649393
5802285,2.417,[ 0.0039912   0.47310216  0.01589201  0.00186472 -0.73494625  0.01397724],5650.838345692335,21.0,0.098219981028427,0.0863858518398132,0.0641055216110737
5802470,3.792,[ 0.23668193 -1.17027083  0.03146366  0.06806454  0.72547662  0.03093245],127874.62706483422,51.0,0.1944600508666791,0.1911769170325905,0.0085141777794098
5871918,12.643,[ 0.23660595 -4.39496976  0.04803308  0.09492134  0.64066776  0.02784424],5318.043911052765,11.0,0.2968667785730901,0.1720903676295158,0.3103500805210563
5876360,1.051,[ 0.00190441 -0.23687174  0.01092612  0.00093924  0.28884368  0.01100614],24063.30451912417,11.0,0.0675285227427711,0.0680230560211182,0.0036624813853317
