KIC,est_ecc,cat_ecc
1026032,0.0416852478225652,0.1247554608023232
2162994,0.0195697976874313,0.07567418648389951
2306740,0.2756124406228312,0.16110853763845043
2309587,0.0824000935227476,0.041215284786108176
2445134,0.0074978823760013,0.09690748629491945
2447893,0.0711128767324959,0.09736529412475474
2557430,0.0116185969677501,0.07084077427583638
2580872,0.214939836677666,0.5734545904428702
2711114,0.0216477515328436,0.5408401613231029
2852560,0.4272548464291213,0.36138602629321465
2860788,0.0029809838508049,0.6299581275767462
2997455,0.0900610535471326,0.4792577954504236
3003991,0.00250174756548,0.306152888929698
3102024,0.5586292825405063,0.143571426474769
3115480,0.0724999960520985,0.5116032080626547
3120320,0.0403506617408892,0.17208957231627953
3122985,0.0953839479360599,0.3089001820977126
3335816,0.0113633484335249,0.40399896856303974
3427776,0.0426443104273345,0.41576604202363615
3449540,0.0028527021370839,0.06750932676304809
3458919,0.0178091012622485,0.6314337976383589
3542573,0.0042437139428419,0.07906842226831139
3543270,0.0417610494441493,0.5979698555947449
3659940,0.0864279789454592,0.5825778411508629
3662635,0.0585803017036203,0.4411892660752299
3749508,0.0172702107734163,0.4296913572554142
3834364,0.0778665997984077,0.4245304248225326
3848919,0.0299626041843688,0.057675517336214684
3957477,0.0312256551288091,0.07847303231046956
3965242,0.1103132958374112,0.5120771938877966
3973002,0.0042280804164256,0.11681268124651535
4035675,0.2156992032905463,0.6195056521130377
4049124,0.0144698759493676,0.07997952863076901
4069063,0.0832495151558399,0.24211114823568122
4078693,0.0862233353332385,0.4627987778721979
4174507,0.0034301623131521,0.6405284069422682
4285087,0.0004065835717413,0.09455598606116906
4352168,0.1977686209977867,0.17925270932401552
4357272,0.0084314597694175,0.4145393829300179
4380283,0.0085669599935632,0.02121508896988179
4480676,0.0137929956245508,0.007580237463298891
4678171,0.0104438865776698,0.22115141351571777
4737267,0.270520919956735,0.468703513321588
4753988,0.0134965196622577,0.12270715138083843
4757331,0.0009665270188137,0.516032742468925
4832197,0.0095154234337441,0.5856710477734067
4839180,0.0089655432508325,0.08848192583799247
4840263,0.0152269187998374,0.04431213490681756
4840818,0.0052080913577014,0.20990139804203306
4902030,0.0079034594395292,0.17450630934152497
4908495,0.000823692715502,0.49515829600239963
4940201,0.0200211269321945,0.05366552431496407
4947726,0.1400106128013818,0.10536059462626432
4948863,0.0053690543825089,0.1987888631186365
4990977,0.0192085281868021,0.6230629599807711
5016163,0.000745371654854,0.01727062824566611
5022440,0.0220885937076583,0.5288404608197069
5036538,0.0018822462193584,0.6073270411401093
5039441,0.0270903826368715,0.019961212388028938
5080652,0.0002932293571194,0.3979986262539106
5181455,0.0084885839477937,0.4046262365442953
5216727,0.0019538941206951,0.14785146735829172
5288543,0.0257901160741253,0.030544801521699236
5300878,0.0010752628715281,0.06809191214821332
5343976,0.0291498388496753,0.44811208698271016
5347784,0.011109413379047,0.6181090127962866
5359678,0.0004292729280544,0.05314160140605475
5393558,0.1590165569211811,0.4237605514910514
5530881,0.0254185718071172,0.05587956334832977
5597970,0.048513007884487,0.24494321464372107
5768927,0.2601495569346874,0.392462957742511
5771589,0.0127371301743891,0.45636813407598914
5781192,0.0563265773643287,0.3144131563723121
5785586,0.1456116356613744,0.036115848321754816
5795648,0.2809790419649393,0.4913984274496613
5802285,0.0641055216110737,0.06432031172188145
5802470,0.0085141777794098,0.49423209385874567
5871918,0.3103500805210563,0.45176352984719786
5887316,0.0231420316442843,0.5140811493334491
5955321,0.482523714008878,0.2113115633371728
6029130,0.0161503318845869,0.2418068816225047
6060580,0.0096269316610596,0.5647166057413222
6103049,0.0830119034122909,0.6336601906384841
6128027,0.1896264190737333,0.39397390497341317
6128141,0.071560861353786,0.6009420105134937
6185717,0.2508059205524738,0.5613138017187891
6191574,0.1447880718926156,0.4403118015679343
6231401,0.024925769918645,0.5405596782039889
6268722,0.0461474247033805,0.10150987193371884
6359798,0.4010281430002209,0.42719606798284093
6387450,0.0058378974719613,0.3098939375012038
6421483,0.1840662959814219,0.301218793570388
6443392,0.0603244319813532,0.1409405637139287
6452742,0.004605236227796,0.12162010524580218
6466939,0.0057566372036813,0.10026222269628776
6468938,0.0356733621385099,0.6170687887910067
6521542,0.0029024489519097,0.024151830158395865
6525196,0.0011001364629019,0.044574751822079726
6548447,0.1050101883102971,0.622444396633145
6591789,0.0231761120839583,0.14505681231848436
6606282,0.0046500175481606,0.0294076197608715
6620003,0.0037688829585993,0.12166636716858115
6629332,0.0021862222436063,0.49020266033549836
6694186,0.5364743241356799,0.5140851696946723
6695889,0.0771223200483477,0.13515819545998684
6697716,0.0062520469278921,0.4344912889805732
6706287,0.0046532527702034,0.49970686817373244
6766748,0.0202038122116237,0.08688130984279645
6778050,0.004622076178066,0.02165739134799018
6781535,0.24878570878096,0.5561826833873921
6859813,0.2669648014482783,0.11884941606924285
6863840,0.0020846465701691,0.7413062542566332
6891512,0.0030572411845528,0.03999440960934415
6927629,0.0077735741612477,0.16612366598410958
6934587,0.1685492276439745,0.5835065055335715
6939670,0.045195694525834,0.7033144907507594
6949550,0.2617776651144196,0.2772830441985229
6962018,0.0043565332027942,0.26638000075080714
6965293,0.0163043543965494,0.6417492520447531
7009828,0.0036472397135497,0.5887065117696593
7125636,0.017089517223459,0.4943438711059337
7128918,0.0044925176477778,0.2656298223091677
7129465,0.0024519061663356,0.07202003124131508
7174617,0.1403719864752455,0.6993384019199861
7200102,0.4489591224646848,0.4347553257868154
7212722,0.0126248782582326,0.025166219422074504
7257373,0.0123361488234599,0.012544576517363988
7284688,0.040857066350768,0.5831862489805465
7336754,0.0128783257971781,0.6377126253258594
7362852,0.0073599001716701,0.09775925122462835
7369523,0.0016567151483391,0.037568344387263065
7597703,0.0092190835887623,0.06508746807181856
7670485,0.0204969434786393,0.03330298034711008
7671594,0.01450050312707,0.5050280804074165
7691527,0.0945395062073258,0.5670199926810341
7695093,0.1965257160626209,0.4644558159825324
7750740,0.0069871082454106,0.5355742519016388
7798259,0.0228404697115646,0.4823134634239438
7830321,0.124532448528105,0.5532955971268884
7838639,0.0028386515533733,0.5173054223570442
7885570,0.0818925617292938,0.5705576135676396
7886329,0.0340633662822151,0.1107821867449817
7919653,0.0035087252191347,0.18272751571670864
7941635,0.0448373938076531,0.02082807720362108
7943535,0.1501273017139541,0.5095539112792679
7947631,0.0047514089749637,0.5807717080746961
7950775,0.2117970697463412,0.574127459716046
7960547,0.0388565939428529,0.1667502383806392
7967100,0.0766688810330004,0.6330052372611146
7970760,0.0012463386987499,0.07624568840268936
8008128,0.4428876712929375,0.22513153954965973
8016214,0.0475430420091014,0.5251473386583998
8081482,0.1323557157901116,0.36814249686772105
8088354,0.0241889713285241,0.46039205303740854
8094140,0.0329894296942448,0.5578805174049368
8095099,0.0122061173679061,0.1398506792975994
8097825,0.0493860591502278,0.5145741948446307
8098300,0.0058734468878734,0.04163631227666543
8111622,0.5025850880909581,0.26681662092156105
8128965,0.0246556433454997,0.06836188484821056
8145789,0.0060453718965065,0.1570591971200668
8195877,0.0157731324482327,0.6257224919243354
8229048,0.0072086837068474,0.09028769628249467
8230809,0.0792895530134297,0.5766495478191238
8231877,0.0069446285104012,0.17548169163761784
8279765,0.272079605368677,0.8334944318950187
8285254,0.3471219101809427,0.36962772690911594
8288719,0.0021745249248744,0.33365544877912606
8296467,0.2592722835223768,0.1079494719764761
8301013,0.012828885793382,0.03597680502768416
8302455,0.0029967102839427,0.7315120507551466
8312222,0.1348107724185522,0.4986373215073256
8316503,0.1105102477346721,0.08546459208350556
8345358,0.0105691107678754,0.16924054419671428
8364119,0.0272665490078577,0.17479171633690196
8411947,0.0026055481533164,0.5018510481208542
8444552,0.0119690400996329,0.026727577518361065
