KIC,Porb,sol,chi_fit,window,dur1,dur2,ecc
1161345,8.575,"[ 9.47933186e-04 -7.92262573e-02  1.86605722e-02  7.44534374e-04
  4.19944194e+00  1.63795237e-02]",3146.9011094541847,11.0,0.1153310062265617,0.1012330667457348,0.0651183379658044
2307199,13.447,"[ 7.10053370e-04  1.31985326e+00  1.85422664e-02  5.07644666e-04
 -6.69045610e-01  9.45239065e-03]",1727.671778892603,11.0,0.1145998212018355,0.0584201659153125,0.6413373658092528
2452440,8.097,[ 0.01785312  0.79617128  0.05771533  6.12322277 14.49772062  0.3455643 ],28899.750682175727,51.0,0.3567075530142098,2.1357479089596296,2.004082035960189
3231120,3.9,"[ 7.09155663e-02 -1.24376324e+00  3.51468653e-02  3.97809494e-05
  5.31342391e-01  4.37111201e-02]",75785.6099801881,11.0,0.2172239571344953,0.2701550311621148,0.1294480079828222
3339538,14.658,"[ 1.31570212e-01  5.27826189e+00  2.75604285e-02  1.33775905e-03
 -5.11249795e+00  7.60414842e-03]",7566.704482805183,111.0,0.1703362528106353,0.0469971702246496,0.6555327560475604
3433668,15.022,"[2.58793133e+00 1.21849133e+01 5.00000000e-02 1.59067115e-04
 3.30422807e+00 4.40515338e-02]",4946.771943772874,71.0,0.3090232308363845,0.2722589460724531,0.1565663032769282
3530668,1.946,[ 0.14340823 -0.46992635  0.04111149  0.00113966  0.50160149  0.03141083],1221598.824636562,11.0,0.2540880941063897,0.1941335398276136,0.1337662343675821
3547091,3.306,"[ 1.61697325e-02  9.94075522e-01  2.29911704e-02  9.54064800e-04
 -6.61599024e-01  1.21209576e-02]",108328.9930436512,11.0,0.1420961151595722,0.0749131492214736,0.3095883123156165
3656322,3.664,[ 0.015678   -0.82696394  0.04264055  0.00542635  0.96399976  0.02106664],104897.28875919188,11.0,0.2635384265362501,0.1302016291269481,0.3390983584542678
3734868,10.328,"[8.51002045e-04 4.08378691e+00 2.19724127e-02 4.07794625e-03
 4.91640902e+00 1.85961967e-02]",44205.55255185304,11.0,0.1357997192712048,0.1149331357011629,0.6639997753279898
3852655,11.629,"[ 6.37831339e-04  4.80780601e+00  9.22240773e-03  5.56902467e-05
 -1.88462412e+00  3.49297945e-02]",1565.3428309210517,11.0,0.0569987646288243,0.215882358985056,0.5941984676768592
3861595,3.849,"[ 1.31156604e-03 -1.50798766e+00  2.83391782e-02  8.66973310e+00
 -4.18336723e+00  5.00000001e-02]",1410.0919489469777,11.0,0.1751492879185932,0.3090232310529277,0.412742794704379
3862246,4.702,"[3.89788944e-03 9.54195113e-02 1.84244879e-02 6.04026072e-06
 1.70482366e+00 4.76350049e-02]",4445.366679488042,11.0,0.1138718953365105,0.2944064620019433,0.5068580286376502
3970233,8.255,"[2.15491966e-02 1.64814717e+00 7.82035692e-02 2.72450028e-04
 1.92244657e-01 1.36545305e-02]",7999.920854423877,11.0,0.4833343916951929,0.084391342498561,0.8673093380537203
4037163,0.635,[ 0.03419405  0.06902519  0.01578399  0.02718115 -0.2468758   0.01480634],426031.48414549744,11.0,0.0975524016260596,0.0915100800742256,0.032203235078966
